Адрес;Наименование объекта;Скорость;Тип устройства ПМ;Место установки оборудования;IP-адрес ПМ;номер порта ПМ;Технология ПМ;;;;;
г. Ростов-на-Дону, ул. Большая Садовая ,47;Администрация города Ростова-на-Дону;100 Мбит/с;Cisco Catalyst 3750;Узел доступа Думский 3;10.11.80.115;Gi2/0/4;ВОЛС;;;;;
г. Ростов-на-Дону, Ул. Советская, 55/2;Администрация города Ростова-на-Дону;20 Мбит/с;Quidway S2328;администрация;10.2.15.23;Eth0/0/1;Ethernet;;;;;
г. Ростов-на-Дону, бул. Комарова, 28/5;Администрация Ворошиловского района города Ростова-на-Дону;20 Мбит/с;Cisco 7606ats74;Узел доступа Волкова 9;80.254.105.133;Gi1/10;ВОЛС;;;;;
г. Ростов-на-Дону, пр. Стачки, 42;Администрация Железнодорожного района города Ростова-на-Дону;20 Мбит/с;Cisco Catalyst 3550;Узел доступа Стачки 42;10.11.80.243;Gi0/9;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Серафимовича, 86;Администрация Кировского района города Ростова-на-Дону;20 Мбит/с;Cisco 7609;Узел доступа Газетный 49;10.11.80.127;8/32;ВОЛС;;;;;
г. Ростов-на-Дону, пер. Соборный, 36;Администрация Ленинского района города Ростова-на-Дону;20 Мбит/с;Cisco Catalyst 3750;Узел доступа Буденновский, 50;10.11.80.91;Gi1/0/27;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Ленина, 44;Администрация Октябрьского района города Ростова-на-Дону;20 Мбит/с;Quidway S2328;администрация;10.2.149.6;Eth0/0/4;Ethernet;;;;;
г. Ростов-на-Дону, ул. Воровского, 48;Администрация Первомайского района города Ростова-на-Дону;20 Мбит/с;Quidway S5328;Узел доступа Менжинского,4;10.2.45.1;GE0/0/24;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Советская, 2;Администрация Пролетарского района города Ростова-на-Дону;20 Мбит/с;Cisco 7606 ;Узел доступа Волкова,9;80.254.105.129 ;Gi3/28;ВОЛС;;;;;
г. Ростов-на-Дону, пр. Коммунистический, 24;Администрация Советского района города Ростова-на-Дону;20 Мбит/с;Cisco Catalyst 3750;Узел доступа Буденновский, 50;10.11.80.231;Gi1/0/2;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Большая Садовая, 72;Департамент архитектуры и градостроительства;20 Мбит/с;Quidway S2309;на площадке клиента;10.11.82.70;Eth0/0/1;Ethernet;;;;;
г. Ростов-на-Дону, ул. Социалистическая, 77;Департамент ЖКХ и Э;4 Мбит/с;Juniper mx480;Узел доступа Серафимовича, 62;80.254.122.96;ge-1/0/3;ВОЛС;;;;;
г. Ростов-на-Дону, пр. Соколова, 18;Департамент координации строительства;10 Мбит/с;Qtech QSW-2850-18T-AC;на площадке клиента;10.3.10.138;Ethernet1/0/1;Ethernet;;;;;
г. Ростов-на-Дону, ул. Большая Садовая, 101;Департамент автодорог и организации дорожного движения;4 Мбит/с;Quidway S2309;на площадке клиента;10.2.223.25;Eth0/0/6;Ethernet;;;;;
г. Ростов-на-Дону, ул. 15-линия, 11/11;Управление здравоохранения;4 Мбит/с;DSLAM Huawei 5600;Узел доступа Мурлычева, 56;10.109.5.1;0/10/56;ADSL;;;;;
г. Ростов-на-Дону, пр. Буденновский, 22;Управление культуры;4 Мбит/с;Juniper mx480;Узел доступа Серафимовича, 62;80.254.122.96;ge-1/0/2;ВОЛС ;;;;;
г. Ростов-на-Дону, ул. Обороны, 76;Управление образования;4 Мбит/с;Cisco 7609;Узел доступа Газетный 49;10.11.80.127;8/38;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Большая Садовая, 78;Управление наружной рекламой;4 Мбит/с;Cisco Catalyst 3750 ;Узел доступа Думский 3;10.11.80.115;Gi2/0/6;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Ленина, 113/3;Управление по делам ГО и ЧС;4 Мбит/с;Cisco Catalyst 3750  ;Узел доступа Нагибина, 14;10.2.151.126;Gi1/0/8;ВОЛС;;;;;
г. Ростов-на-Дону, ул. Соколова, 92;Управление благоустройства и лесного хозяйства;4 Мбит/с;Quidway S2326;домовой коммутатор;10.2.77.21;Eth0/0/21;Ethernet;;;;;
г. Ростов-на-Дону пер. Крепостной, 77;Управление МФЦ;4 Мбит/с;;;;;;;;;;
г. Ростов-на-Дону, пер. Семашко, 99/248;Комитет по охране окружающей среды Администрации города;20 Мбит/с;Quidway S2328;домовой коммутатор;10.3.145.22;Eth0/0/16;Ethernet;;;;;
г. Ростов-на-Дону, ул. Варфоломеева, 203;Дирекция строящихся объектов;2 Мбит/с;Quidway S2309;на площадке клиента;10.2.100.13;Eth0/0/1;Ethernet;;;;;
г. Ростов-на-Дону, пр. Стачки, 42;МУСЗН Железнодорожного района;2 Мбит/с;DSLAM Huawei 5600;Узел доступа Коммунистический, 10;10.108.34.1;ADSL0/0/55;ADSL;;;;;
г. Ростов-на-Дону, ул. Королева, 25 Г;РОО Ворошиловского района;2 Мбит/с;QTECH QSW-2870-28T;на площадке клиента;10.2.65.129;fa1/0/1;Ethernet;;;;;
г. Ростов-на-Дону, ул.1-я Баррикадная,48;РОО Железнодорожного района;2 Мбит/с;Quidway S2326;на площадке клиента;10.2.101.13;Eth0/0/1;Ethernet;;;;;
г.Ростов-на-Дону, ул.Московская,76;РОО Кировского района;2 Мбит/с;DSLAM Huawei 5300;Узел доступа Серафимовича, 62;10.108.12.1;Adsl10/0/21;ADSL;;;;;
г.Ростов-на-Дону, ул. Островского,35;РОО Ленинского района;2 Мбит/с;DSLAM Huawei 5600;Узел доступа Серафимовича, 62;10.108.54.1;Adsl0/2/23;ADSL;;;;;
г.Ростов-на-Дону, ул. Ларина,19/2;РОО Октябрьского района;2 Мбит/с;Quidway S2326;на площадке клиента;10.2.123.3;Eth0/0/3;Ethernet;;;;;
г.Ростов-на-Дону, ул. Металлургическая,110/1;РОО Первомайского района;2 Мбит/с;Quidway S2326;домовой коммутатор;10.2.43.2;Eth0/0/14;Ethernet;;;;;
г.Ростов-на-Дону, 27-я линия, 4;РОО Пролетарского района;2 Мбит/с;Quidway S2326;Узел доступа Мурлычева, 56;10.2.2.125;Eth0/0/13;;;;;;
г.Ростов-на-Дону, ул. Селиванова, 64/112;УЖКХ Первомайского района;2 Мбит/с;Quidway S2326;домовой коммутатор;10.2.42.24;Eth0/0/18;Ethernet;;;;;
г. Ростов-на-Дону, Университетский, 48;Городской Кировский ЗАГС;1 Мбит/с;DSLAM Huawei 5600;Узел доступа Социалистическая, 191;10.108.45.1;Adsl0/4/35;ADSL;;;;;
г. Ростов-на-Дону, ул. Большая Садовая,47;Администрация города;1 Мбит/с;;;;;;;;;;
г. Ростов-на-Дону, ул. Большая Садовая,47;Администрация города;1 Мбит/с;;;;;;;;;;
г.Ростов-на-Дону, Лермонтовская, 11;Отдел по делам молодежи;10 Мбит/с;Quidway S2326;домовой коммутатор;10.2.91.16;Eth0/0/2;Ethernet;;;;;
